2	1
1	2
4	3
6	4
5	5
6	6
4	7
6	8
4	9
1	10
1	11
5	12
5	13
5	14
2	15
6	16
2	17
5	18
4	19
4	20
4	21
3	22
2	23
4	24
5	25
4	26
1	27
5	28
6	29
6	30
5	31
4	32
2	33
2	34
6	35
1	36
5	37
4	38
3	39
5	40
3	41
5	42
5	43
5	44
4	45
4	46
3	47
2	48
3	49
3	50
2	51
1	52
3	53
5	54
1	55
4	56
5	57
5	58
3	59
5	60
3	61
1	62
3	63
3	64
1	65
6	66
1	67
1	68
1	69
1	70
2	71
5	72
3	73
4	74
5	75
2	76
1	77
5	78
3	79
2	80
5	81
4	82
6	83
1	84
2	85
1	86
5	87
1	88
3	89
5	90
1	91
1	92
5	93
3	94
1	95
1	96
1	97
3	98
6	99
5	100
3	101
1	102
1	103
1	104
3	105
1	106
2	107
6	108
3	109
3	110
1	111
1	112
6	113
2	114
5	115
2	116
3	117
5	118
1	119
5	120
3	121
6	122
5	123
4	124
6	125
2	126
6	127
5	128
